step,segment,sim_time_sec,ref_x,ref_y,ref_yaw,ref_v,ref_w,x,y,yaw,v_meas,w_meas,e_x,e_y,e_psi,cmd_v,cmd_w,cmd_v_nom,cmd_w_nom,dv_pert,dw_pert
34,straight_1,4.300000,0.175000,0.000000,0.000000,0.250000,0.000000,0.135578,0.003387,0.051578,0.258236,0.114341,0.039195,-0.005415,-0.051578,0.246922,0.055121,0.281024,-0.112903,-0.034102,0.168023
35,straight_1,4.350000,0.187500,0.000000,0.000000,0.250000,0.000000,0.151102,0.004206,0.057810,0.259918,0.094074,0.036094,-0.006302,-0.057810,0.244355,0.041059,0.278458,-0.126964,-0.034102,0.168023
36,straight_1,4.400000,0.200000,0.000000,0.000000,0.250000,0.000000,0.161425,0.004804,0.061062,0.257216,0.070072,0.038209,-0.007149,-0.061062,0.245999,0.033032,0.280102,-0.134992,-0.034102,0.168023
37,straight_1,4.450000,0.212500,0.000000,0.000000,0.250000,0.000000,0.176882,0.005760,0.064837,0.258947,0.056370,0.035170,-0.008056,-0.064837,0.243508,0.023848,0.277610,-0.144175,-0.034102,0.168023
38,straight_1,4.500000,0.225000,0.000000,0.000000,0.250000,0.000000,0.187165,0.006428,0.066746,0.256324,0.040695,0.037322,-0.008937,-0.066746,0.245199,0.018445,0.279301,-0.149579,-0.034102,0.168023
39,straight_1,4.550000,0.237500,0.000000,0.000000,0.250000,0.000000,0.202564,0.007463,0.068893,0.258104,0.031472,0.034339,-0.009851,-0.068893,0.242776,0.012506,0.276878,-0.155518,-0.034102,0.168023
40,straight_1,4.601000,0.250000,0.000000,0.000000,0.250000,0.000000,0.217909,0.008526,0.070360,0.255554,0.021335,0.031412,-0.010761,-0.070360,0.219254,0.133369,0.274511,-0.160091,-0.055257,0.293460
41,straight_1,4.650000,0.262500,0.000000,0.000000,0.250000,0.000000,0.227563,0.009206,0.074677,0.233826,0.183795,0.034153,-0.011787,-0.074677,0.221369,0.122889,0.276626,-0.170571,-0.055257,0.293460
42,straight_1,4.700000,0.275000,0.000000,0.000000,0.250000,0.000000,0.236889,0.009909,0.082201,0.233800,0.189783,0.037168,-0.013005,-0.082201,0.223634,0.105650,0.278891,-0.187810,-0.055257,0.293460
43,straight_1,4.750000,0.287500,0.000000,0.000000,0.250000,0.000000,0.250897,0.011093,0.093411,0.235318,0.179214,0.035408,-0.014459,-0.093411,0.221980,0.080612,0.277237,-0.212847,-0.055257,0.293460
44,straight_1,4.800000,0.300000,0.000000,0.000000,0.250000,0.000000,0.260236,0.011969,0.099726,0.233663,0.137584,0.038375,-0.015869,-0.099726,0.224201,0.065444,0.279458,-0.228015,-0.055257,0.293460
45,straight_1,4.850000,0.312500,0.000000,0.000000,0.250000,0.000000,0.274256,0.013392,0.107177,0.236001,0.111694,0.036592,-0.017406,-0.107177,0.222582,0.047775,0.277839,-0.245684,-0.055257,0.293460
46,straight_1,4.900000,0.325000,0.000000,0.000000,0.250000,0.000000,0.288264,0.014913,0.112642,0.234297,0.081536,0.034827,-0.018948,-0.112642,0.221021,0.034069,0.276277,-0.259391,-0.055257,0.293460
47,straight_1,4.950000,0.337500,0.000000,0.000000,0.250000,0.000000,0.297526,0.015961,0.115178,0.232653,0.058141,0.037875,-0.020449,-0.115178,0.223387,0.026295,0.278644,-0.267165,-0.055257,0.293460
48,straight_1,5.000000,0.350000,0.000000,0.000000,0.250000,0.000000,0.306821,0.017036,0.117206,0.235144,0.044872,0.040891,-0.021969,-0.117206,0.225741,0.019503,0.280997,-0.273956,-0.055257,0.293460
49,straight_1,5.050000,0.362500,0.000000,0.000000,0.250000,0.000000,0.320883,0.018699,0.119643,0.237622,0.033279,0.039088,-0.023532,-0.119643,0.224227,0.011816,0.279483,-0.281643,-0.055257,0.293460
50,straight_1,5.100000,0.375000,0.000000,0.000000,0.250000,0.000000,0.330287,0.019829,0.120697,0.236028,0.020158,0.042001,-0.025068,-0.120697,0.316013,-0.571281,0.281782,-0.286516,0.034231,-0.284765
51,straight_1,5.150000,0.387500,0.000000,0.000000,0.250000,0.000000,0.344943,0.021608,0.118316,0.264919,-0.149517,0.039709,-0.026480,-0.118316,0.314251,-0.569061,0.280019,-0.284296,0.034231,-0.284765
52,straight_1,5.200000,0.400000,0.000000,0.000000,0.250000,0.000000,0.356425,0.022958,0.106922,0.303349,-0.364310,0.040876,-0.027477,-0.106922,0.315504,-0.548068,0.281273,-0.263303,0.034231,-0.284765
53,straight_1,5.250000,0.412500,0.000000,0.000000,0.250000,0.000000,0.375896,0.024926,0.076657,0.332108,-0.589291,0.034588,-0.027656,-0.076657,0.311168,-0.487859,0.276936,-0.203094,0.034231,-0.284765
54,straight_1,5.300000,0.425000,0.000000,0.000000,0.250000,0.000000,0.389074,0.025922,0.052023,0.327721,-0.572141,0.034529,-0.027755,-0.052023,0.311517,-0.438771,0.277285,-0.154006,0.034231,-0.284765
55,straight_1,5.350000,0.437500,0.000000,0.000000,0.250000,0.000000,0.408716,0.026827,0.019407,0.327911,-0.512430,0.028258,-0.027381,-0.019407,0.306791,-0.372864,0.272560,-0.088099,0.034231,-0.284765
56,straight_1,5.400000,0.450000,0.000000,0.000000,0.250000,0.000000,0.428241,0.027104,-0.009027,0.322937,-0.435460,0.022003,-0.026906,0.009027,0.301824,-0.315143,0.267592,-0.030378,0.034231,-0.284765
57,straight_1,5.450000,0.462500,0.000000,0.000000,0.250000,0.000000,0.441076,0.026986,-0.025292,0.318661,-0.376403,0.022100,-0.026436,0.025292,0.301832,-0.281765,0.267600,0.003000,0.034231,-0.284765
58,straight_1,5.500000,0.475000,0.000000,0.000000,0.250000,0.000000,0.453780,0.026664,-0.039365,0.317717,-0.329068,0.022253,-0.025808,0.039365,0.241591,-0.268053,0.267609,0.032276,-0.026017,-0.300328
59,straight_1,5.550000,0.487500,0.000000,0.000000,0.250000,0.000000,0.472346,0.025879,-0.060169,0.292186,-0.365547,0.016683,-0.024921,0.060169,0.236877,-0.224848,0.262894,0.075480,-0.026017,-0.300328
60,straight_1,5.600000,0.500000,0.000000,0.000000,0.250000,0.000000,0.482993,0.025243,-0.073612,0.254382,-0.306797,0.018817,-0.023924,0.073612,0.238360,-0.196167,0.264377,0.104161,-0.026017,-0.300328
61,straight_1,5.650000,0.512500,0.000000,0.000000,0.250000,0.000000,0.498065,0.024089,-0.089890,0.251354,-0.238355,0.016539,-0.022696,0.089890,0.236205,-0.161401,0.262222,0.138927,-0.026017,-0.300328
62,straight_1,5.700000,0.525000,0.000000,0.000000,0.250000,0.000000,0.508063,0.023188,-0.098907,0.250902,-0.217163,0.019143,-0.021402,0.098907,0.238076,-0.141038,0.264093,0.159290,-0.026017,-0.300328
63,straight_1,5.750000,0.537500,0.000000,0.000000,0.250000,0.000000,0.523033,0.021669,-0.111256,0.250709,-0.200402,0.016783,-0.019929,0.111256,0.235863,-0.113689,0.261881,0.186639,-0.026017,-0.300328
64,straight_1,5.800000,0.550000,0.000000,0.000000,0.250000,0.000000,0.532969,0.020558,-0.118841,0.249176,-0.182520,0.019348,-0.018394,0.118841,0.237698,-0.095755,0.263715,0.204573,-0.026017,-0.300328
65,straight_1,5.850000,0.562500,0.000000,0.000000,0.250000,0.000000,0.547837,0.018753,-0.129269,0.250208,-0.163432,0.016958,-0.016706,0.129269,0.235463,-0.071861,0.261481,0.228467,-0.026017,-0.300328
66,straight_1,5.900000,0.575000,0.000000,0.000000,0.250000,0.000000,0.562626,0.016808,-0.137403,0.247856,-0.122648,0.014560,-0.014954,0.137403,0.233274,-0.052440,0.259292,0.247888,-0.026017,-0.300328
67,straight_1,5.950000,0.587500,0.000000,0.000000,0.250000,0.000000,0.572376,0.015460,-0.141281,0.245552,-0.089498,0.017151,-0.013176,0.141281,0.235212,-0.041483,0.261230,0.258845,-0.026017,-0.300328
68,straight_1,6.000000,0.600000,0.000000,0.000000,0.250000,0.000000,0.582142,0.014071,-0.144465,0.247592,-0.070796,0.019698,-0.011353,0.144465,0.243416,-0.022249,0.263154,0.268495,-0.019738,-0.290744
69,straight_1,6.050000,0.612500,0.000000,0.000000,0.250000,0.000000,0.597105,0.011883,-0.147679,0.256227,-0.037966,0.016976,-0.009488,0.147679,0.241122,-0.012465,0.260860,0.278279,-0.019738,-0.290744
70,straight_1,6.100000,0.625000,0.000000,0.000000,0.250000,0.000000,0.607192,0.010383,-0.148841,0.253812,-0.021265,0.019150,-0.007627,0.148841,0.242818,-0.006790,0.262556,0.283954,-0.019738,-0.290744
71,straight_1,6.150000,0.637500,0.000000,0.000000,0.250000,0.000000,0.622307,0.008113,-0.149815,0.255598,-0.011579,0.016234,-0.005755,0.149815,0.240449,-0.001473,0.260187,0.289271,-0.019738,-0.290744
72,straight_1,6.201000,0.650000,0.000000,0.000000,0.250000,0.000000,0.637370,0.005839,-0.150137,0.253104,-0.002503,0.013361,-0.003884,0.150137,0.238139,0.002539,0.257877,0.293283,-0.019738,-0.290744
73,straight_1,6.250000,0.662500,0.000000,0.000000,0.250000,0.000000,0.647306,0.004336,-0.150026,0.250672,0.004324,0.015672,-0.002016,0.150026,0.266367,0.628957,0.259729,0.296424,0.006638,0.332534
